modelo,parametros,scaler,selector,r2,mae,rmse,dataset
Ridge,"{""alpha"": ""10.0"", ""fit_intercept"": ""True"", ""max_iter"": ""10000"", ""modelo"": ""Ridge"", ""scaler"": ""robust"", ""selector"": ""SelectFromModel"", ""solver"": ""auto"", ""tol"": ""0.001""}",robust,SelectFromModel,0.9129751701033694,0.3993164619981475,0.5004844625750808,crop_yield.csv
Ridge,"{""alpha"": ""1.0"", ""fit_intercept"": ""True"", ""max_iter"": ""10000"", ""modelo"": ""Ridge"", ""scaler"": ""robust"", ""selector"": ""SelectFromModel"", ""solver"": ""auto"", ""tol"": ""0.001""}",robust,SelectFromModel,0.9129751705973428,0.3993164640174224,0.5004844609661006,crop_yield.csv
Ridge,"{""alpha"": ""0.1"", ""fit_intercept"": ""True"", ""max_iter"": ""10000"", ""modelo"": ""Ridge"", ""scaler"": ""robust"", ""selector"": ""SelectFromModel"", ""solver"": ""auto"", ""tol"": ""0.001""}",robust,SelectFromModel,0.9129751705740216,0.399316464379374,0.5004844610143071,crop_yield.csv
Ridge,"{""alpha"": ""10.0"", ""fit_intercept"": ""True"", ""max_iter"": ""2000"", ""modelo"": ""Ridge"", ""scaler"": ""robust"", ""selector"": ""SelectFromModel"", ""solver"": ""auto"", ""tol"": ""0.001""}",robust,SelectFromModel,0.9129751701033694,0.3993164619981475,0.5004844625750808,crop_yield.csv
XGBRegressor,"{""learning_rate"": ""0.1"", ""max_depth"": ""10"", ""modelo"": ""XGBRegressor"", ""n_estimators"": ""400"", ""n_jobs"": ""-1"", ""objective"": ""reg:squarederror"", ""random_state"": ""42"", ""scaler"": ""standard"", ""selector"": ""SelectKBest"", ""tree_method"": ""hist""}",standard,SelectKBest,0.9110069557566745,0.4037850321258814,0.5061127120005672,crop_yield.csv
XGBRegressor,"{""learning_rate"": ""0.1"", ""max_depth"": ""7"", ""modelo"": ""XGBRegressor"", ""n_estimators"": ""400"", ""n_jobs"": ""-1"", ""objective"": ""reg:squarederror"", ""random_state"": ""42"", ""scaler"": ""standard"", ""selector"": ""SelectKBest"", ""tree_method"": ""hist""}",standard,SelectKBest,0.9124545148634128,0.4005237290263045,0.5019793947532838,crop_yield.csv
XGBRegressor,"{""learning_rate"": ""0.05"", ""max_depth"": ""7"", ""modelo"": ""XGBRegressor"", ""n_estimators"": ""400"", ""n_jobs"": ""-1"", ""objective"": ""reg:squarederror"", ""random_state"": ""42"", ""scaler"": ""standard"", ""selector"": ""SelectKBest"", ""tree_method"": ""hist""}",standard,SelectKBest,0.9126761130264078,0.4000195057981985,0.5013438454953619,crop_yield.csv
XGBRegressor,"{""learning_rate"": ""0.05"", ""max_depth"": ""7"", ""modelo"": ""XGBRegressor"", ""n_estimators"": ""200"", ""n_jobs"": ""-1"", ""objective"": ""reg:squarederror"", ""random_state"": ""42"", ""scaler"": ""standard"", ""selector"": ""SelectKBest"", ""tree_method"": ""hist""}",standard,SelectKBest,0.9127635446191992,0.3998157086524482,0.5010928168940666,crop_yield.csv
XGBRegressor,"{""learning_rate"": ""0.05"", ""max_depth"": ""5"", ""modelo"": ""XGBRegressor"", ""n_estimators"": ""200"", ""n_jobs"": ""-1"", ""objective"": ""reg:squarederror"", ""random_state"": ""42"", ""scaler"": ""standard"", ""selector"": ""SelectKBest"", ""tree_method"": ""hist""}",standard,SelectKBest,0.9128514614484824,0.3995937816802059,0.5008401830993827,crop_yield.csv
LGBMRegressor,"{""learning_rate"": ""0.01"", ""modelo"": ""LGBMRegressor"", ""num_leaves"": ""31"", ""n_estimators"": ""1600"", ""scaler"": ""minmax"", ""selector"": ""PCA""}",minmax,PCA,0.5914079791121878,0.8855171315318936,1.0844641864329685,crop_yield.csv
LGBMRegressor,"{""learning_rate"": ""0.01"", ""modelo"": ""LGBMRegressor"", ""num_leaves"": ""31"", ""n_estimators"": ""1200"", ""scaler"": ""minmax"", ""selector"": ""PCA""}",minmax,PCA,0.5914469822008194,0.8854747519147395,1.0844124880845278,crop_yield.csv
LGBMRegressor,"{""learning_rate"": ""0.01"", ""modelo"": ""LGBMRegressor"", ""num_leaves"": ""31"", ""n_estimators"": ""400"", ""scaler"": ""minmax"", ""selector"": ""PCA""}",minmax,PCA,0.5910382462866608,0.8859350882481305,1.084955480986124,crop_yield.csv
LGBMRegressor,"{""learning_rate"": ""0.1"", ""modelo"": ""LGBMRegressor"", ""num_leaves"": ""31"", ""n_estimators"": ""200"", ""scaler"": ""minmax"", ""selector"": ""PCA""}",minmax,PCA,0.5912220301159581,0.8857247090424325,1.084710851394537,crop_yield.csv
LGBMRegressor,"{""learning_rate"": ""0.01"", ""modelo"": ""LGBMRegressor"", ""num_leaves"": ""31"", ""n_estimators"": ""200"", ""scaler"": ""minmax"", ""selector"": ""PCA""}",minmax,PCA,0.5781456737568198,0.9001023228760101,1.1019282709811593,crop_yield.csv
GradientBoostingRegressor,"{""learning_rate"": ""0.03"", ""max_depth"": ""3"", ""min_samples_split"": ""5"", ""mode"": ""SMOKE"", ""modelo"": ""GradientBoostingRegressor"", ""n_estimators"": ""150"", ""random_state"": ""42"", ""scaler"": ""StandardScaler"", ""selector"": ""SelectFromModel(Lasso, thr=median)"", ""subsample"": ""0.7""}",StandardScaler,"SelectFromModel(Lasso, thr=median)",0.9116576373076576,0.4032493008658753,0.5057710684044915,crop_yield.csv
GradientBoostingRegressor,"{""learning_rate"": ""0.03"", ""max_depth"": ""3"", ""min_samples_split"": ""2"", ""mode"": ""SMOKE"", ""modelo"": ""GradientBoostingRegressor"", ""n_estimators"": ""150"", ""random_state"": ""42"", ""scaler"": ""StandardScaler"", ""selector"": ""SelectFromModel(Lasso, thr=median)"", ""subsample"": ""0.7""}",StandardScaler,"SelectFromModel(Lasso, thr=median)",0.9116576373076576,0.4032493008658753,0.5057710684044915,crop_yield.csv
GradientBoostingRegressor,"{""learning_rate"": ""0.03"", ""max_depth"": ""3"", ""min_samples_split"": ""5"", ""modelo"": ""GradientBoostingRegressor"", ""n_estimators"": ""150"", ""random_state"": ""42"", ""scaler"": ""StandardScaler"", ""selector"": ""SelectFromModel(Lasso, thr=median)"", ""subsample"": ""0.7""}",StandardScaler,"SelectFromModel(Lasso, thr=median)",0.9116576373076576,0.4032493008658753,0.5057710684044915,crop_yield.csv
SGDRegressor,"{""alpha"": ""0.001"", ""max_iter"": ""1000"", ""modelo"": ""SGDRegressor"", ""penalty"": ""elasticnet"", ""random_state"": ""42"", ""scaler"": ""minmax"", ""selector"": ""SelectKBest""}",minmax,SelectKBest,0.9128809051440966,0.3995304369547403,0.5007553540155315,crop_yield.csv
SGDRegressor,"{""alpha"": ""0.0001"", ""max_iter"": ""2000"", ""modelo"": ""SGDRegressor"", ""penalty"": ""elasticnet"", ""random_state"": ""42"", ""scaler"": ""minmax"", ""selector"": ""SelectKBest""}",minmax,SelectKBest,0.9129549034003543,0.3993604452683921,0.5005426534078768,crop_yield.csv
SGDRegressor,"{""alpha"": ""0.01"", ""max_iter"": ""2000"", ""modelo"": ""SGDRegressor"", ""penalty"": ""l1"", ""random_state"": ""42"", ""scaler"": ""minmax"", ""selector"": ""SelectKBest""}",minmax,SelectKBest,0.9118154257905692,0.401966435022518,0.5038082330313529,crop_yield.csv
SGDRegressor,"{""alpha"": ""0.001"", ""max_iter"": ""2000"", ""modelo"": ""SGDRegressor"", ""penalty"": ""l1"", ""random_state"": ""42"", ""scaler"": ""minmax"", ""selector"": ""SelectKBest""}",minmax,SelectKBest,0.91294419300625,0.3993870713276058,0.50057344038294,crop_yield.csv
SGDRegressor,"{""alpha"": ""0.001"", ""max_iter"": ""1000"", ""modelo"": ""SGDRegressor"", ""penalty"": ""l1"", ""random_state"": ""42"", ""scaler"": ""minmax"", ""selector"": ""SelectKBest""}",minmax,SelectKBest,0.91294419300625,0.3993870713276058,0.50057344038294,crop_yield.csv
SGDRegressor,"{""alpha"": ""0.0001"", ""max_iter"": ""1000"", ""modelo"": ""SGDRegressor"", ""penalty"": ""l2"", ""random_state"": ""42"", ""scaler"": ""minmax"", ""selector"": ""SelectKBest""}",minmax,SelectKBest,0.9129502517055808,0.3993759470023874,0.5005559872434968,crop_yield.csv
LGBMRegressor,"{""learning_rate"": ""0.05"", ""modelo"": ""LGBMRegressor"", ""num_leaves"": ""31"", ""n_estimators"": ""1600"", ""scaler"": ""minmax"", ""selector"": ""PCA""}",minmax,PCA,0.9123977999850784,0.4006324050380871,0.5021432511866581,crop_yield.csv
LGBMRegressor,"{""learning_rate"": ""0.1"", ""modelo"": ""LGBMRegressor"", ""num_leaves"": ""31"", ""n_estimators"": ""1200"", ""scaler"": ""minmax"", ""selector"": ""PCA""}",minmax,PCA,0.9121394107441496,0.401231983190685,0.5028832386364296,crop_yield.csv
LGBMRegressor,"{""learning_rate"": ""0.01"", ""modelo"": ""LGBMRegressor"", ""num_leaves"": ""31"", ""n_estimators"": ""800"", ""scaler"": ""minmax"", ""selector"": ""PCA""}",minmax,PCA,0.9123873347932367,0.400625517247953,0.5021742355517428,crop_yield.csv
LGBMRegressor,"{""learning_rate"": ""0.1"", ""modelo"": ""LGBMRegressor"", ""num_leaves"": ""31"", ""n_estimators"": ""400"", ""scaler"": ""minmax"", ""selector"": ""PCA""}",minmax,PCA,0.9123599246396704,0.4007131304107225,0.5022520853797614,crop_yield.csv
LGBMRegressor,"{""learning_rate"": ""0.1"", ""modelo"": ""LGBMRegressor"", ""num_leaves"": ""31"", ""n_estimators"": ""200"", ""scaler"": ""minmax"", ""selector"": ""PCA""}",minmax,PCA,0.912355648983338,0.4007130687480371,0.5022646597857018,crop_yield.csv
SGDRegressor,"{""alpha"": ""0.01"", ""eta0"": ""0.1"", ""learning_rate"": ""adaptive"", ""loss"": ""squared_error"", ""modelo"": ""SGDRegressor"", ""penalty"": ""l2"", ""scaler"": ""minmax"", ""selector"": ""PCA""}",minmax,PCA,0.3191805079258726,1.185737947871243,1.3998656374495455,crop_yield.csv
SGDRegressor,"{""alpha"": ""0.01"", ""eta0"": ""0.01"", ""learning_rate"": ""adaptive"", ""loss"": ""squared_error"", ""modelo"": ""SGDRegressor"", ""penalty"": ""l2"", ""scaler"": ""minmax"", ""selector"": ""PCA""}",minmax,PCA,0.319179467396358,1.1857384145729752,1.3998667071871966,crop_yield.csv
SGDRegressor,"{""alpha"": ""0.0001"", ""eta0"": ""0.1"", ""learning_rate"": ""constant"", ""loss"": ""squared_error"", ""modelo"": ""SGDRegressor"", ""penalty"": ""l2"", ""scaler"": ""minmax"", ""selector"": ""PCA""}",minmax,PCA,0.180744254428881,1.2743147970186075,1.534936010203821,crop_yield.csv
LinearSVR,"{""C"": ""100.0"", ""dual"": ""False"", ""epsilon"": ""0.1"", ""loss"": ""squared_epsilon_insensitive"", ""max_iter"": ""1000"", ""modelo"": ""LinearSVR"", ""random_state"": ""42"", ""scaler"": ""standard"", ""selector"": ""RFE""}",standard,RFE,0.913002529707972,0.3995598881172501,0.5007775794429717,crop_yield.csv
LinearSVR,"{""C"": ""1.0"", ""dual"": ""False"", ""epsilon"": ""0.2"", ""loss"": ""squared_epsilon_insensitive"", ""max_iter"": ""1000"", ""modelo"": ""LinearSVR"", ""random_state"": ""42"", ""scaler"": ""standard"", ""selector"": ""RFE""}",standard,RFE,0.9130025378541587,0.399557159165939,0.5007775363220055,crop_yield.csv
LinearSVR,"{""C"": ""0.1"", ""dual"": ""False"", ""epsilon"": ""0.2"", ""loss"": ""squared_epsilon_insensitive"", ""max_iter"": ""1000"", ""modelo"": ""LinearSVR"", ""random_state"": ""42"", ""scaler"": ""standard"", ""selector"": ""RFE""}",standard,RFE,0.913002181653806,0.3995579536664601,0.5007785612412604,crop_yield.csv
LinearSVR,"{""C"": ""0.01"", ""dual"": ""False"", ""epsilon"": ""0.1"", ""loss"": ""squared_epsilon_insensitive"", ""max_iter"": ""1000"", ""modelo"": ""LinearSVR"", ""random_state"": ""42"", ""scaler"": ""standard"", ""selector"": ""RFE""}",standard,RFE,0.9129751421255548,0.3993160983747318,0.5004845368994235,crop_yield.csv
Ridge,"{""alpha"": ""1.0"", ""fit_intercept"": ""True"", ""max_iter"": ""2000"", ""modelo"": ""Ridge"", ""scaler"": ""robust"", ""selector"": ""SelectFromModel"", ""solver"": ""sag"", ""tol"": ""0.001""}",robust,SelectFromModel,0.9129743033498644,0.3993184954090246,0.5004856749921218,crop_yield.csv
Ridge,"{""alpha"": ""0.1"", ""fit_intercept"": ""True"", ""max_iter"": ""2000"", ""modelo"": ""Ridge"", ""scaler"": ""robust"", ""selector"": ""SelectFromModel"", ""solver"": ""sag"", ""tol"": ""0.001""}",robust,SelectFromModel,0.912974576768967,0.3993192481138849,0.500486017354614,crop_yield.csv
Ridge,"{""alpha"": ""0.1"", ""fit_intercept"": ""True"", ""max_iter"": ""2000"", ""modelo"": ""Ridge"", ""scaler"": ""robust"", ""selector"": ""SelectFromModel"", ""solver"": ""auto"", ""tol"": ""0.0001""}",robust,SelectFromModel,0.9129751705740216,0.399316464379374,0.5004844610143071,crop_yield.csv
Ridge,"{""alpha"": ""1.0"", ""fit_intercept"": ""True"", ""max_iter"": ""2000"", ""modelo"": ""Ridge"", ""scaler"": ""robust"", ""selector"": ""SelectFromModel"", ""solver"": ""auto"", ""tol"": ""0.001""}",robust,SelectFromModel,0.9129751705973428,0.3993164640174224,0.5004844609661006,crop_yield.csv
Ridge,"{""alpha"": ""0.1"", ""fit_intercept"": ""True"", ""max_iter"": ""2000"", ""modelo"": ""Ridge"", ""scaler"": ""robust"", ""selector"": ""SelectFromModel"", ""solver"": ""auto"", ""tol"": ""0.001""}",robust,SelectFromModel,0.9129751705740216,0.399316464379374,0.5004844610143071,crop_yield.csv
XGBRegressor,"{""learning_rate"": ""0.1"", ""max_depth"": ""5"", ""modelo"": ""XGBRegressor"", ""n_estimators"": ""600"", ""n_jobs"": ""-1"", ""objective"": ""reg:squarederror"", ""random_state"": ""42"", ""scaler"": ""standard"", ""selector"": ""SelectKBest"", ""tree_method"": ""hist""}",standard,SelectKBest,0.9126782728379474,0.3999865138420654,0.5013376103659647,crop_yield.csv
